id,korean_name,english_name,kcd,vcode,support,primary_specialty,all_specialties,classification_source,status,orpha_code,orpha_name
1273,8번 염색체 단완의 역중복-결실 증후군,8p inverted duplication-deletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,96092,8p inverted duplication/deletion syndrome
1272,8번 염색체 단완의 중복 증후군,8p duplication syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1271,8번 염색체 장완의 21.11 부분의 미세결손 증후군,8q21.11 microdeletion syndrome,없음,V901,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,284160,8q21.11 microdeletion syndrome
1270,8번 염색체 장완의 22.1 부분의 미세 결손 증후군,8q22.1 microdeletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,178303,8q22.1 microdeletion syndrome
1269,8번 염색체 장완의 중복 증후군,8q duplication syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1268,9번 염색체 단완의 결손,Deletion of short arm of chromosome 9,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1267,9번 염색체 단완의 결손 증후군,9p deletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,261112,Monosomy 9p syndrome
1266,9번 염색체 단완의 사염색체증,tetrasomy 9p,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1265,9번 염색체 단완의 중복,Duplication of 9p,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1264,9번 염색체 단완의 중복 증후군,9p duplication syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1263,9번 염색체 장완의 결손 증후군,9q deletion syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1262,9번 염색체 장완의 중복 증후군,9q duplication syndrome,없음,V901,의료비(급여부분),미분류,[],,미분류,,
1261,ACOX1 관련 장애,Acox1 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1260,AC글로불린결핍,AC globulin deficiency,D68.2,V009,의료비(급여부분),미분류,[],,미분류,,
1259,ADCY5 관련 이상운동증,ADCY5-related dyskinesia,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1258,ADNP 증후군(헬스무르텔-반데르아 증후군),ADNP syndrome(Helsmoortel-VanDerAa Syndrome),Q87.8,V900,의료비(급여부분),미분류,[],,미분류,,
1257,AGO1 관련 발달지연,AGO1 related developmental delay,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1256,ALS 결핍증,Acid-Labile subunit deficiency (ALSD),없음,V900,의료비(급여부분),미분류,[],,미분류,,
1255,ARC 증후군,"Arthrogryposis, renal tubular dysfunction, and cholestasis (ARC syndrome)",없음,V900,의료비(급여부분),미분류,[],,미분류,,
1254,ARHGEF9 관련 장애,ARHGEF9 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1253,ARX 관련 장애,ARX related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1252,ASH1L 관련 지적발달장애,ASH1L related intellectual developmental disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1251,ASPM 관련 소두증,ASPM related microcephaly,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1250,ATP1A3 관련 뇌병증,ATP1A3-related encephalopathy,없음,V900,의료비(급여부분),미분류,[],,미분류,,
